ID,symbol,name,country,sector,industry,ev,employees,# of shares,revenue 2023,revenue 2022,revenue 2021,revenue 2020,ebitda 2023,ebitda 2022,ebitda 2021,ebitda 2020,stock price 2018-10-30,stock price 2018-11-30,stock price 2018-12-30,stock price 2019-01-30,stock price 2019-02-28,stock price 2019-03-30,stock price 2019-04-30,stock price 2019-05-30,stock price 2019-06-30,stock price 2019-07-30,stock price 2019-08-30,stock price 2019-09-30,stock price 2019-10-30,stock price 2019-11-30,stock price 2019-12-30,stock price 2020-01-30,stock price 2020-02-28,stock price 2020-03-30,stock price 2020-04-30,stock price 2020-05-30,stock price 2020-06-30,stock price 2020-07-30,stock price 2020-08-30,stock price 2020-09-30,stock price 2020-10-30,stock price 2020-11-30,stock price 2020-12-30,stock price 2021-01-30,stock price 2021-02-28,stock price 2021-03-30,stock price 2021-04-30,stock price 2021-05-30,stock price 2021-06-30,stock price 2021-07-30,stock price 2021-08-30,stock price 2021-09-30,stock price 2021-10-30,stock price 2021-11-30,stock price 2021-12-30,stock price 2022-01-30,stock price 2022-02-28,stock price 2022-03-30,stock price 2022-04-30,stock price 2022-05-30,stock price 2022-06-30,stock price 2022-07-30,stock price 2022-08-30,stock price 2022-09-30,stock price 2022-10-30,stock price 2022-11-30,stock price 2022-12-30,stock price 2023-01-30,stock price 2023-02-28,stock price 2023-03-30,stock price 2023-04-30,stock price 2023-05-30,stock price 2023-06-30,stock price 2023-07-30,stock price 2023-08-30,stock price 2023-09-30,profitability 2023,profitability 2022,profitability 2021
1,TYT.L,TOYOTA MOTOR CORPORATION Y50,Japan,Automotive,Auto Manufacturers,59457186824192,379659,13513900032,"37154298000000,0","31379507000000,0","27214593000000,0","29929992000000,0","5833750000000,0","5856409000000,0","4624181000000,0","4192207000000,0","1046,326530","1044,131814","1052,035792","1045,140076","1039,875464","1044,700602","1174,803424","1137,867995","1136,443030","1196,948635","1176,536650","1253,234840","1336,462248","1414,559564","1420,429633","1415,828031","1403,275854","1220,810747","1208,032635","1202,840807","1274,931913","1227,416408","1279,088776","1287,279031","1278,224509","1333,512486","1403,528623","1424,221344","1482,273389","1526,697213","1677,339966","1721,218005","1964,291853","1958,613708","1941,423520","1982,623402","1969,549717","2078,120783","2074,155599","2297,782092","2213,087000","2044,502250","2186,307180","2107,692447","2139,657629","2139,748070","2127,741888","2018,194179","1998,816860","2007,306313","1913,587500","1857,202230","1887,303241","1831,511459","1831,928569","1916,541870","2169,036066","2286,486596","2416,841886","2546,000000","3705832000010,192","3830244000010,1523","3767945000012,858"
2,VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,United Kingdom,Telecom,Telecom Services,71752458240,104000,27077099520,"45706000000,0","45580000000,0","43809000000,0","44974000000,0","14544000000,0","5918000000,0","5427000000,0","18518000000,0","124,910524","128,638123","135,011074","125,238257","118,061367","118,262490","119,768555","111,005168","111,832724","117,001649","131,117311","138,637869","139,538400","138,454750","132,317322","137,004051","134,677345","106,289026","99,638065","109,740982","119,989371","116,748759","108,356874","98,974821","100,415148","109,560823","119,838049","122,523795","125,970863","126,067670","129,440049","129,453314","122,799131","113,120868","115,756848","112,566526","106,994455","109,028225","112,362856","119,997000","135,658001","124,483478","127,955790","123,233333","126,458001","127,167620","119,704545","108,329524","100,445238","99,030000","86,348500","90,753810","96,646000","94,242608","91,597222","86,409474","74,042727","73,381429","72,144546","73,024998","9213000004,933475","9060000012,124443","8640000013,221386"
3,BT-A.L,BT GROUP PLC ORD 5P,United Kingdom,Telecom,Telecom Services,31665604608,97100,9943310336,"20681000000,0","20850000000,0","21331000000,0","22905000000,0","7441000000,0","7302000000,0","6954000000,0","7547000000,0","211,002962","229,017378","222,480869","213,095354","206,995597","200,712550","205,577603","188,252342","184,146127","175,152393","161,965324","166,378223","187,433528","186,590420","189,118157","179,437821","151,431214","123,448637","117,203928","110,100018","116,361660","109,635408","104,332137","103,257074","101,242088","115,707975","132,363442","135,649982","125,201327","140,410419","153,210715","168,376660","190,746676","182,774611","171,110944","158,185140","141,022796","157,594005","167,625461","183,845000","194,332500","178,630435","186,052631","182,216667","184,012498","182,930953","157,127273","136,626286","125,373809","121,890909","115,232500","127,150002","136,787501","143,069566","154,019446","149,955000","136,138635","123,888096","114,386363","114,975002","5307000004,255558","4607000004,336566","4903000004,553581"
4,0QIU.IL,NOVO NORDISK A/S NOVO NORDISK O,Denmark,Pharma,Biotechnology,3206024003584,59337,3358370048,"176954000000,0","140800000000,0","126946000000,0","122021000000,0","76802000000,0","67556000000,0","59273000000,0","54434000000,0","126,829666","131,897408","135,849566","139,573177","145,833247","152,212432","155,259280","148,623925","155,759225","152,888834","160,114209","166,386185","167,910362","180,950046","182,869069","190,689493","203,404070","181,923015","201,181184","206,750407","207,009225","204,913053","198,405537","205,253417","213,777255","204,208676","206,363262","209,365569","215,365746","211,615482","220,059807","236,479505","251,217399","272,368931","318,439683","316,824176","326,575002","365,235227","362,879761","323,183751","332,775000","358,227176","394,514475","379,079758","386,888751","411,028572","395,253408","385,345238","398,069048","418,322728","458,004999","474,611902","487,817500","507,852173","560,636108","569,290002","544,052266","536,595235","613,115914","657,625000","14753000041,744017","7385000047,45728","22081000054,08911"
5,0R0X.IL,TESLA INC TESLA ORD (CDI),United States,Automotive,Auto Manufacturers,788395589632,127855,3173989888,"81462000000,0","53823000000,0","31536000000,0","24578000000,0","17657000000,0","9625000000,0","4224000000,0","2174000000,0","18,913393","23,001192","23,072114","21,167387","20,525778","18,523252","17,917866","14,543650","14,276833","16,041087","15,072301","15,780635","17,643333","22,515476","24,952833","34,985000","53,261333","37,386969","44,463167","53,191930","63,991364","96,862319","117,460666","137,355302","142,893939","156,478173","210,410316","277,974998","264,798331","219,756521","236,333334","204,254385","209,287877","219,696969","234,984127","251,665908","292,192066","373,405305","337,457142","336,308333","293,146665","304,081883","335,571055","253,203969","233,092500","248,921429","295,195455","286,120239","224,483334","191,613408","157,191499","132,173334","199,069501","189,349568","176,736111","176,225000","246,454545","275,190476","241,818182","249,000000","7172000044,650597","8014000081,91123","3242000186,646683"
6,WISE.L,WISE PLC CLS A ORD GBP0.01,United Kingdom,Telecom,Information Technology Services,6766040576,5100,1024780032,"986300000,0","559900000,0","421000000,0","302600000,0","179700000,0","78300000,0","70400000,0","45500000,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"956,411116","989,928569","1065,704545","927,323812","790,990903","750,600005","653,920001","568,699994","505,886956","442,289472","354,671429","342,625002","375,766670","496,881819","565,428903","679,638096","633,527266","608,909998","564,514294","584,610001","555,643478","555,622216","564,070004","600,736367","699,923808","699,563632","643,000000","8800037,651867423","11900086,411757037","23200096,10853091"
7,AAF.L,AIRTEL AFRICA PLC ORD USD0.50,United Kingdom,Telecom,Telecom Services,7919682048,4072,3750830080,"5255000000,0","4714000000,0","3908000000,0","3422000000,0","2604000000,0","2409000000,0","1810000000,0","1670000000,0",,,,,,,,,"60,210674","62,968306","59,732814","51,010766","49,461252","63,646022","72,697681","68,631083","67,582339","43,077983","36,382464","35,153482","53,193990","58,803786","56,020607","58,495004","61,981755","73,134478","82,036306","76,907800","77,926252","79,876740","76,665549","77,812282","78,060187","81,498467","91,888856","94,932479","96,912832","125,125721","127,642856","142,765002","149,052632","141,704349","144,973684","146,423811","141,044999","154,409523","145,481818","136,071429","125,709522","119,331818","115,565001","115,928572","122,055000","113,147826","109,933334","117,270000","121,422727","108,052381","113,436363","114,500000","1281000003,0413525","739000003,2875392","915000004,375515"
8,ONT.L,OXFORD NANOPORE TECHNOLOGIES PL,United Kingdom,Pharma,Biotechnology,1297952640,1049,829188992,"198603000,0","133661000,0","113860000,0"," 52061000,0","-49912000,0",0,"-55071000,0","-65025000,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"612,599976","565,309524","611,977273","684,523810","539,800000","516,225000","411,804348","352,078947","293,738095","322,300000","294,619048","305,068182","274,904762","260,690476","271,454545","248,575000","260,023810","229,575000","201,091305","219,866666","244,290001","235,636365","242,676190","247,481817","238,300003","42233973,995178714","30816990,75565229","26471976,431286156"
9,0O87.IL,TELEFONAKTIEBOLAGET LM ERICSSON,Sweden,Telecom,Communication Equipment,190106697728,103890,3068000000,"271546000000,0","232314000000,0","232390000000,0","227216000000,0","37586000000,0","41049000000,0","36662000000,0","19251000000,0","77,780513","76,489032","77,700537","76,297201","82,539638","85,550851","89,869124","89,790258","89,769997","84,970719","79,298533","76,734608","81,957234","85,095179","83,641319","80,781100","81,818273","70,913044","80,511468","81,928014","84,594935","92,501442","99,958700","95,372617","97,161983","101,850902","99,236035","97,493291","107,304621","109,768045","116,950270","111,080675","107,529778","105,453563","99,723501","99,810453","100,781666","94,893182","95,917620","104,675250","105,813000","83,498043","85,898158","78,622381","78,231249","76,430714","78,325228","73,240000","66,532619","63,098636","64,536000","62,219048","60,039000","57,961739","58,405278","55,257000","56,493182","55,247381","53,834318","57,115000","6197000005,057913","4625000004,631214","5310000005,185388"
10,SCT.L,SOFTCAT PLC,United Kingdom,Telecom,Information Technology Services,2728770048,1921,199558000,"1077946000,0","1156667000,0","1077127000,0",0,"140922000,0","124336000,0","97517000,0",0,"684,426867","598,104614","563,541684","633,345975","691,238113","766,761681","829,748126","889,023031","900,959387","915,275696","913,796172","960,325843","917,445780","1084,847389","1095,720886","1169,627525","1160,756805","966,437386","1043,035635","1145,997006","1063,939603","1139,004214","1316,612964","1231,824602","1157,832325","1126,882987","1223,196394","1495,400208","1517,781409","1564,755790","1882,427332","1787,466231","1776,601235","1816,853832","2014,189006","2142,877375","1982,667980","1911,821816","1783,142857","1662,100000","1570,200000","1615,521739","1526,052632","1346,238095","1327,200000","1328,714286","1358,227273","1211,380952","1149,857143","1252,818182","1226,000000","1216,809524","1246,250000","1164,000000","1324,111111","1335,200000","1408,727273","1447,142857","1459,818182","1504,000000","5224019,363690893","6464021,946741475","8957027,982506108"
11,CCC.L,COMPUTACENTER PLC ORD 7 5/9P,United Kingdom,Telecom,Information Technology Services,2825319936,20097,114141000,"6470500000,0","6725800000,0","5441258000,0","5052779000,0","349700000,0","346200000,0","296814000,0","221269000,0","1168,496242","1039,774478","925,861386","964,576291","1023,834137","1064,007013","1028,367291","1156,824387","1223,572632","1281,062686","1338,907942","1252,201794","1217,067712","1365,327015","1584,881189","1688,258439","1763,523438","1322,102556","1389,184332","1456,498118","1594,408714","1728,363685","1963,734454","2213,429188","2350,484508","2218,345773","2281,719099","2343,865039","2212,447107","2189,489555","2522,126941","2590,190571","2608,294533","2622,238215","2795,203532","2877,033569","2692,857143","2762,636364","2808,476190","2714,200000","2726,300000","2760,000000","2837,894737","2493,333333","2395,900000","2434,380952","2543,818182","2149,095238","1888,190476","1981,636364","1954,650000","2015,000000","2264,800000","2123,304348","2244,222222","2378,700000","2283,363636","2211,904762","2108,545455","2171,000000","35500008,07926776","30300008,160947245","27501009,51882302"
